article,word,picture,wclass,definition-en,definition-ru,definition-am,gender,section,section_new,portion,catalog,language,weight,description,,,need correction
der,Alltag,no,noun,everyday life,будни,առօրյա,,A1.1-1,A1.1-1,1,Berliner Platz,German,1,,,,
das,Alphabet,,noun,alphabet,алфавит,այբուբենը,,A1.1-1,A1.1-1,1,Berliner Platz,German,1,,,,
die,Antwort,no,noun,answer,ответ,պատասխան,,A1.1-1,A1.1-1,1,Berliner Platz,German,1,,,,
das,Beispiel,no,noun,example,пример,օրինակը,,A1.1-1,A1.1-1,1,Berliner Platz,German,1,,,,
der,Beruf,no,noun,profession,профессия,մասնագիտություն,,A1.1-1,A1.1-1,1,Berliner Platz,German,1,,,,
das,Deutsch,no,noun,german,немецкий,գերմանական,,A1.1-1,A1.1-1,1,Berliner Platz,German,1,,,,
die,Entschuldigung,no,noun,sorry,простите,ներողություն,,A1.1-1,A1.1-1,2,Berliner Platz,German,1,,,,
der,Famillenname,no,noun,surename,фамилия,ազգանուն,,A1.1-1,A1.1-1,2,Berliner Platz,German,1,,,,
die,Frage,,noun,question,вопрос,հարց,,A1.1-1,A1.1-1,2,Berliner Platz,German,1,,,,
die,Frau,,noun,women,женщина,կին,,A1.1-1,A1.1-1,2,Berliner Platz,German,1,,,,
der,Herr,,noun,mister,господин,պարոն,,A1.1-1,A1.1-1,2,Berliner Platz,German,1,,,,
der,Kurs,no,noun,course,курс,դասընթաց,,A1.1-1,A1.1-1,2,Berliner Platz,German,1,,,,
der,Kursleiter,,noun,teacher,учитель,ուսուցիչ,mas,A1.1-1,A1.1-1,3,Berliner Platz,German,1,,,,
die,Kursleiterin,,noun,teacher,учительница,ուսուցչուհի,fem,A1.1-1,A1.1-1,3,Berliner Platz,German,1,,,,
das,Land,no,noun,country,страна,երկիր,,A1.1-1,A1.1-1,3,Berliner Platz,German,1,,,,
die,Leute,,noun,people,люди,ժողովուրդ,,A1.1-1,A1.1-1,3,Berliner Platz,German,1,,,,
der,Nachbar,no,noun,neighbour,сосед,հարեւան,mas,A1.1-1,A1.1-1,3,Berliner Platz,German,1,,,,
die,Nachbarin,no,noun,neighbour,соседка,հարեւանուհի,fem,A1.1-1,A1.1-1,3,Berliner Platz,German,1,,,,
der,Name,no,noun,name,имя,անուն,,A1.1-1,A1.1-1,4,Berliner Platz,German,1,,,,
die,Person,no,noun,person,персона,անձ,,A1.1-1,A1.1-1,4,Berliner Platz,German,1,,,,
der,Satz,no,noun,sentence,предложение,նախադասություն,,A1.1-1,A1.1-1,4,Berliner Platz,German,1,,,,
die,Sprache,no,noun,language,язык,լեզու,,A1.1-1,A1.1-1,4,Berliner Platz,German,1,,,,
die,Stadt,no,noun,city,город,քաղաք,,A1.1-1,A1.1-1,4,Berliner Platz,German,1,,,,
der,Vorname,no,noun,firstname,первое имя,առաջին անուն,,A1.1-1,A1.1-1,4,Berliner Platz,German,1,,,,
,antworten,,verb,answer,ответить,պատասխանել,,A1.1-1,A1.1-1,1,Berliner Platz,German,1,,,,
,begrüßen,,verb,welcome,здороваться,ողջունել,,A1.1-1,A1.1-1,1,Berliner Platz,German,1,,,,
,fragen,,verb,ask,спросить,հարցնել,,A1.1-1,A1.1-1,1,Berliner Platz,German,1,,,,
,haben,,verb,have,иметь,ունենալ,,A1.1-1,A1.1-1,1,Berliner Platz,German,1,,,,
,heißen,,verb,be called,вызов,կոչվել,,A1.1-1,A1.1-1,2,Berliner Platz,German,1,,,,
,hören,,verb,hear,заслушивать,լսել,,A1.1-1,A1.1-1,2,Berliner Platz,German,1,,,,
,kommen,,verb,come,прийти,գալ,,A1.1-1,A1.1-1,2,Berliner Platz,German,1,,,,
,lernen,,verb,learn,учиться,սովորել,,A1.1-1,A1.1-1,2,Berliner Platz,German,1,,,,
,lesen,,verb,read,считывание,կարդալ,,A1.1-1,A1.1-1,3,Berliner Platz,German,1,,,,
,machen,,verb,do,сделать,անել,,A1.1-1,A1.1-1,3,Berliner Platz,German,1,,,,
,schreiben,,verb,write,писать,գրել,,A1.1-1,A1.1-1,3,Berliner Platz,German,1,,,,
,sein,,verb,be,его,նրա,,A1.1-1,A1.1-1,3,Berliner Platz,German,1,,,,
,sprechen,,verb,speak,говорить,խոսել,,A1.1-1,A1.1-1,4,Berliner Platz,German,1,,,,
,verabschieden,,verb,say goodbye,прощаться,հրաժեշտ տալ,,A1.1-1,A1.1-1,4,Berliner Platz,German,1,,,,
,vorstellen,,verb,introduce,представлять,պատկերացնել,,A1.1-1,A1.1-1,4,Berliner Platz,German,1,,,,
,wohnen,,verb,live,жить,ապրել,,A1.1-1,A1.1-1,4,Berliner Platz,German,1,,,,
,auf Wiedersehen,,other,see you,До свидания,հրաժեշտ,,A1.1-1,A1.1-1,1,Berliner Platz,German,1,,,,
,bitte,,other,please,пожалуйста,խնդրեմ,,A1.1-1,A1.1-1,1,Berliner Platz,German,1,,,,
,Hallo,,other,hi,привет,բարեւ ,,A1.1-1,A1.1-1,1,Berliner Platz,German,1,,,,
,nein,,other,no,нет,ոչ,,A1.1-1,A1.1-1,2,Berliner Platz,German,1,,,,
,oder,,other,or,или,կամ,,A1.1-1,A1.1-1,2,Berliner Platz,German,1,,,,
,aus,,other,from,от,-ից,,A1.1-1,A1.1-1,2,Berliner Platz,German,1,,,,
,in,,other,in,в,մեջ,,A1.1-1,A1.1-1,3,Berliner Platz,German,1,,,,
,und,,other,and,и,իսկ,,A1.1-1,A1.1-1,3,Berliner Platz,German,1,,,,
,was,,other,what,какие,ինչ,,A1.1-1,A1.1-1,3,Berliner Platz,German,1,,,,
,wer,,other,who,кто,ով,,A1.1-1,A1.1-1,4,Berliner Platz,German,1,,,,
,wie,,other,how,как,ինչպես,,A1.1-1,A1.1-1,4,Berliner Platz,German,1,,,,
,wo,,other,where,где,որտեղ,,A1.1-1,A1.1-1,4,Berliner Platz,German,1,,,,
,woher,,other,from where,откуда,որտեղից,,A1.1-1,A1.1-1,4,Berliner Platz,German,1,,,,
die,Adresse,,noun,address,адрес,հասցե,,A1.1-2,A1.1-2,1,Berliner Platz,German,2,,,,
das,Cafe,,noun,cafe,кафе,սրճարան,,A1.1-2,A1.1-2,1,Berliner Platz,German,2,,,,
das,Getränk,,noun,drink,напиток,ըմպելիք,,A1.1-2,A1.1-2,1,Berliner Platz,German,2,,,,
der,Kaffee,,noun,coffee,кофе,սուրճ,,A1.1-2,A1.1-2,1,Berliner Platz,German,2,,,,
die,Kasse,no,noun,cashier,Касса,կանխիկ,,A1.1-2,A1.1-2,1,Berliner Platz,German,2,,,,
der,Lehrer,,noun,teacher,учитель,ուսուցիչ,mas,A1.1-2,A1.1-2,2,Berliner Platz,German,2,,,,
die,Lehrerin,,noun,teacher,учительница,ուսուցչուհի,fem,A1.1-2,A1.1-2,2,Berliner Platz,German,2,,,,
die,Milch,,noun,milk,молоко,կաթ,,A1.1-2,A1.1-2,2,Berliner Platz,German,2,,,,
das,Mineralwasser,,noun,mineral water,минерал,հանքային,,A1.1-2,A1.1-2,2,Berliner Platz,German,2,,,,
die,Nummer,no,noun,number,номер,թիվ,,A1.1-2,A1.1-2,2,Berliner Platz,German,2,,,,
die,Postleitzahl,no,noun,postal code,почтовый индекс,փոստային կոդ,,A1.1-2,A1.1-2,2,Berliner Platz,German,2,,,,
der,Student,,noun,student,студент,ուսանող,mas,A1.1-2,A1.1-2,3,Berliner Platz,German,2,,,,
die,Studentin,,noun,student,студент,ուսանողուհի,fem,A1.1-2,A1.1-2,3,Berliner Platz,German,2,,,,
die,Stunde,,noun,hour,час,ժամ,,A1.1-2,A1.1-2,3,Berliner Platz,German,2,,,,
der,Saft,,noun,juice,сок,հյութ,,A1.1-2,A1.1-2,3,Berliner Platz,German,2,,,,
der,Tee,,noun,tee,чая,թեյի,,A1.1-2,A1.1-2,3,Berliner Platz,German,2,,,,
das,Telefonnummer,,noun,phone number,номер телефона,հեռախոսահամար,,A1.1-2,A1.1-2,3,Berliner Platz,German,2,,,,
die,Vorwahl,no,noun,area code,код,կոդ,,A1.1-2,A1.1-2,4,Berliner Platz,German,2,,,,
das,Wasser,,noun,water,вода,ջուր,,A1.1-2,A1.1-2,4,Berliner Platz,German,2,,,,
das,Wochenende,no,noun,weekend,выходные,շաբաթ,,A1.1-2,A1.1-2,4,Berliner Platz,German,2,,,,
das,Wort,no,noun,word,слово,բառ,,A1.1-2,A1.1-2,4,Berliner Platz,German,2,,,,
der,Zucker,no,noun,shugar,сахар,շաքար,,A1.1-2,A1.1-2,4,Berliner Platz,German,2,,,,
,erreichen,,verb,reach,достичь,հասնել,,A1.1-2,A1.1-2,1,Berliner Platz,German,2,,,,
,retten,,verb,rescue,экономить,փրկել,,A1.1-2,A1.1-2,2,Berliner Platz,German,2,,,,
,schenken,,verb,present,дать,նվիրել,,A1.1-2,A1.1-2,3,Berliner Platz,German,2,,,,
,schreien,,verb,scream,крик,ճչալ,,A1.1-2,A1.1-2,4,Berliner Platz,German,2,,,,
